college,division,playername,position,height,season
Adrian College,D3,ALEX COLLINS,DEFENSIVE SPECIALIST/LIBERO,69,2019-2020
Adrian College,D3,JAKE SIMPSON,SETTER,69,2019-2020
Adrian College,D3,JAKE WITT,MIDDLE BLOCKER,76,2019-2020
Adrian College,D3,JARROD SIMMONDS,DEFENSIVE SPECIALIST,71,2019-2020
Adrian College,D3,JOSEPH CAMPANA,SETTER,70,2019-2020
Adrian College,D3,JOSEPH HERRERA,DEFENSIVE SPECIALIST,70,2019-2020
Adrian College,D3,KEVIN CURLEY,OUTSIDE HITTER/LIBERO,73,2019-2020
Adrian College,D3,KOLBY MILLER,OUTSIDE HITTER,71,2019-2020
Adrian College,D3,LUCAS RUSNAK,MIDDLE BLOCKER,74,2019-2020
Adrian College,D3,MASON HOSTETLER,MIDDLE BLOCKER,73,2019-2020
Adrian College,D3,NOAH MARCINKOWSKI,OUTSIDE HITTER,73,2019-2020
Adrian College,D3,PEYTON DOELLING,OUTSIDE HITTER,72,2019-2020
Adrian College,D3,SAMUEL WILLIAMS,DEFENSIVE SPECIALIST/LIBERO,71,2019-2020
Adrian College,D3,TEDRICK GULA,OUTSIDE HITTER/MIDDLE BLOCKER,74,2019-2020
Alderson Broaddus University,D1,CHASE DOYLE,LIBERO,70,2019-2020
Alderson Broaddus University,D1,CONRAD ROSZKOWSKI,RIGHT SIDE,75,2019-2020
Alderson Broaddus University,D1,DUANE DAVIS,OUTSIDE HITTER/MIDDLE BLOCKER,72,2019-2020
Alderson Broaddus University,D1,ERAN SHIFRIS,OUTSIDE HITTER/RIGHT SIDE,74,2019-2020
Alderson Broaddus University,D1,IFEANYI UKACHUKWU,OUTSIDE HITTER,75,2019-2020
Alderson Broaddus University,D1,JOSE RAMIREZ,OUTSIDE HITTER,73,2019-2020
Alderson Broaddus University,D1,NICK MICALE,OUTSIDE HITTER/MIDDLE BLOCKER,69,2019-2020
Alderson Broaddus University,D1,TREVOR FILER,SETTER,75,2019-2020
Alderson Broaddus University,D1,YANKIEL CRUZ RESTO,OUTSIDE HITTER,73,2019-2020
Alvernia University,D3,AARON KUHLMAN,MIDDLE BLOCKER,76,2019-2020
Alvernia University,D3,ANTHONY DADSON,MIDDLE BLOCKER,77,2019-2020
