college,season,division,height,numplayers,rank,W,L,winpct,percentile
Adrian College,2010-2011,D3,74.64285714285714,14,,,,,
Adrian College,2011-2012,D3,75.0625,16,,,,,
Adrian College,2013-2014,D3,72.5,18,,,,,
Adrian College,2014-2015,D3,71.66666666666667,15,,,,,
Adrian College,2015-2016,D3,71.63636363636364,11,71.0,1.0,20.0,0.048,0.01388888888888884
Adrian College,2016-2017,D3,72.61538461538461,13,72.0,4.0,21.0,0.16,0.07692307692307687
Adrian College,2017-2018,D3,72.28571428571429,14,59.0,8.0,14.0,0.364,0.3058823529411765
Adrian College,2018-2019,D3,72.53333333333333,15,43.0,16.0,14.0,0.5329999999999999,0.5700000000000001
Adrian College,2019-2020,D3,71.85714285714286,14,49.0,10.0,9.0,0.526,0.505050505050505
Alderson Broaddus University,2010-2011,D1,73.84615384615384,13,,,,,
Alderson Broaddus University,2011-2012,D1,73.54545454545455,11,,,,,
Alderson Broaddus University,2012-2013,D1,,9,,,,,
Alderson Broaddus University,2013-2014,D1,,4,,,,,
Alderson Broaddus University,2014-2015,D1,75.1,15,,,,,
Alderson Broaddus University,2015-2016,D1,74.72222222222223,18,30.0,8.0,12.0,0.4,0.2857142857142857
Alderson Broaddus University,2016-2017,D1,74.36363636363636,11,35.0,6.0,16.0,0.273,0.14634146341463417
Alderson Broaddus University,2017-2018,D1,73.61538461538461,13,41.0,4.0,20.0,0.16699999999999998,0.023809523809523836
Alderson Broaddus University,2018-2019,D1,74.0,6,43.0,0.0,13.0,0.0,0.0
Alderson Broaddus University,2019-2020,D1,72.88888888888889,9,44.0,1.0,12.0,0.077,0.022222222222222254
Alvernia University,2017-2018,D3,73.35714285714286,14,55.0,12.0,16.0,0.429,0.3529411764705882
Alvernia University,2018-2019,D3,74.0,12,62.0,12.0,17.0,0.414,0.38
Alvernia University,2019-2020,D3,74.42857142857143,14,39.0,12.0,8.0,0.6,0.6060606060606061
Arcadia University,2016-2017,D3,73.07692307692308,13,51.0,12.0,18.0,0.4,0.34615384615384615
Arcadia University,2017-2018,D3,73.78571428571429,14,33.0,17.0,13.0,0.5670000000000001,0.611764705882353
Arcadia University,2018-2019,D3,74.35714285714286,14,21.0,26.0,11.0,0.703,0.79
Arcadia University,2019-2020,D3,74.88888888888889,18,51.0,11.0,10.0,0.524,0.48484848484848486
Augustana College,2017-2018,D3,72.23076923076923,13,56.0,11.0,16.0,0.40700000000000003,0.3411764705882353
Augustana College,2018-2019,D3,71.82352941176471,17,55.0,12.0,15.0,0.444,0.44999999999999996
Augustana College,2019-2020,D3,72.35714285714286,14,43.0,12.0,9.0,0.5710000000000001,0.5656565656565656
Aurora University,2017-2018,D3,73.2,15,50.0,12.0,14.0,0.462,0.4117647058823529
Aurora University,2018-2019,D3,74.42857142857143,14,52.0,13.0,14.0,0.48100000000000004,0.48
Aurora University,2019-2020,D3,74.58823529411765,18,17.0,12.0,4.0,0.75,0.8282828282828283
BYU,2010-2011,D1,74.75,20,6.0,20.0,8.0,0.7140000000000001,0.8285714285714285
BYU,2011-2012,D1,75.95238095238095,21,6.0,24.0,7.0,0.774,0.8
BYU,2012-2013,D1,76.82352941176471,17,1.0,26.0,5.0,0.8390000000000001,0.9642857142857143
Ball State University,2010-2011,D1,71.64285714285714,14,11.0,19.0,11.0,0.633,0.6857142857142857
Ball State University,2011-2012,D1,71.26666666666667,15,15.0,14.0,12.0,0.5379999999999999,0.5
Ball State University,2012-2013,D1,75.58823529411765,17,4.0,21.0,6.0,0.778,0.8571428571428572
Ball State University,2013-2014,D1,76.72222222222223,18,6.0,22.0,8.0,0.733,0.8461538461538461
Ball State University,2014-2015,D1,76.66666666666667,18,30.0,13.0,16.0,0.44799999999999995,0.2857142857142857
Ball State University,2015-2016,D1,77.16666666666667,18,9.0,20.0,9.0,0.69,0.7857142857142857
Ball State University,2016-2017,D1,77.21052631578948,19,10.0,19.0,10.0,0.655,0.7560975609756098
Ball State University,2017-2018,D1,76.4,20,15.0,18.0,12.0,0.6,0.6428571428571428
Ball State University,2018-2019,D1,76.2,20,22.0,15.0,15.0,0.5,0.4883720930232558
Ball State University,2019-2020,D1,75.84210526315789,19,10.0,12.0,6.0,0.667,0.7777777777777778
Bard College,2010-2011,D3,73.66666666666667,12,14.0,20.0,13.0,0.606,0.7021276595744681
Bard College,2011-2012,D3,73.0,9,,,,,
Bard College,2012-2013,D3,72.55555555555556,9,,,,,
Bard College,2013-2014,D3,71.55555555555556,9,58.0,8.0,24.0,0.25,0.049180327868852514
Bard College,2014-2015,D3,72.33333333333333,12,52.0,9.0,21.0,0.3,0.21212121212121215
Bard College,2015-2016,D3,72.54545454545455,11,54.0,10.0,22.0,0.313,0.25
Bard College,2016-2017,D3,72.44444444444444,9,71.0,5.0,23.0,0.179,0.08974358974358976
Bard College,2017-2018,D3,72.3,10,85.0,3.0,21.0,0.125,0.0
Bard College,2018-2019,D3,73.5,10,99.0,2.0,16.0,0.111,0.010000000000000009
Bard College,2019-2020,D3,72.0,9,,,,,
Barton College,2012-2013,D1,76.0909090909091,11,,,,,
Barton College,2013-2014,D1,75.0909090909091,11,26.0,12.0,17.0,0.414,0.33333333333333337
Barton College,2014-2015,D1,74.83333333333333,12,31.0,13.0,18.0,0.419,0.26190476190476186
Barton College,2015-2016,D1,74.71428571428571,14,5.0,22.0,7.0,0.759,0.8809523809523809
Barton College,2016-2017,D1,75.0625,16,6.0,23.0,6.0,0.7929999999999999,0.8536585365853658
Barton College,2017-2018,D1,76.1,10,7.0,21.0,8.0,0.7240000000000001,0.8333333333333334
Barton College,2018-2019,D1,76.08333333333333,12,3.0,25.0,5.0,0.833,0.9302325581395349
Barton College,2019-2020,D1,74.64285714285714,14,5.0,13.0,2.0,0.867,0.8888888888888888
Baruch College,2010-2011,D3,76.76470588235294,17,8.0,34.0,16.0,0.68,0.8297872340425532
Baruch College,2011-2012,D3,75.2,15,,,,,
Baruch College,2012-2013,D3,75.06666666666666,15,3.0,34.0,6.0,0.85,0.8928571428571429
Baruch College,2013-2014,D3,74.18181818181819,11,11.0,27.0,11.0,0.711,0.819672131147541
Baruch College,2014-2015,D3,74.0,12,11.0,25.0,10.0,0.7140000000000001,0.8333333333333334
Baruch College,2015-2016,D3,74.42857142857143,14,28.0,18.0,13.0,0.581,0.6111111111111112
Baruch College,2016-2017,D3,73.78571428571429,14,56.0,10.0,17.0,0.37,0.28205128205128205
Baruch College,2017-2018,D3,73.5625,17,53.0,13.0,17.0,0.433,0.3764705882352941
Baruch College,2018-2019,D3,73.25,12,26.0,20.0,11.0,0.645,0.74
Baruch College,2019-2020,D3,73.52941176470588,17,27.0,14.0,6.0,0.7,0.7272727272727273
Belmond Abbey College,2011-2012,D1,72.53846153846153,13,,,,,
Belmond Abbey College,2012-2013,D1,76.07692307692308,13,27.0,11.0,20.0,0.355,0.0357142857142857
Belmond Abbey College,2013-2014,D1,75.5,15,39.0,3.0,25.0,0.107,0.0
Belmond Abbey College,2014-2015,D1,76.0,14,26.0,12.0,14.0,0.462,0.38095238095238093
Belmond Abbey College,2015-2016,D1,75.23076923076923,13,15.0,18.0,11.0,0.621,0.6428571428571428
Belmond Abbey College,2016-2017,D1,74.72727272727273,12,32.0,9.0,17.0,0.34600000000000003,0.2195121951219512
Belmond Abbey College,2017-2018,D1,74.33333333333333,15,25.0,13.0,16.0,0.44799999999999995,0.40476190476190477
Belmond Abbey College,2018-2019,D1,74.72222222222223,18,16.0,15.0,11.0,0.5770000000000001,0.627906976744186
Belmond Abbey College,2019-2020,D1,74.33333333333333,18,29.0,8.0,10.0,0.444,0.3555555555555555
Benedictine University,2014-2015,D3,73.78571428571429,14,51.0,7.0,16.0,0.304,0.2272727272727273
Benedictine University,2015-2016,D3,73.23529411764706,17,27.0,15.0,10.0,0.6,0.625
Benedictine University,2016-2017,D3,74.0,18,45.0,11.0,13.0,0.45799999999999996,0.42307692307692313
Benedictine University,2017-2018,D3,73.8,20,,,,,
Benedictine University,2018-2019,D3,73.78947368421052,19,,,,,
Benedictine University,2019-2020,D3,74.23529411764706,17,22.0,12.0,5.0,0.706,0.7777777777777778
Brooklyn College,2011-2012,D3,76.94736842105263,19,29.0,10.0,14.0,0.41700000000000004,0.0
Brooklyn College,2012-2013,D3,70.92307692307692,13,25.0,13.0,12.0,0.52,0.1071428571428571
Brooklyn College,2013-2014,D3,71.33333333333333,12,31.0,16.0,15.0,0.516,0.4918032786885246
